website,"自分の所有するものを記録するホームページを作る","所要時間：約2時間半　|　参加費：2500円+税（事前予約制）",https://creative-community.space/org/howto/order.php,link,
website,"↑","ワークショップの練習に制作した中尾香織の所有するものを記録するホームページ（ワークショップ約4時間＋ワークショップ後に自身で編集数時間）",/kn/,link,
website,"↑","ワークショップの練習に制作したabiのthe best itemsを記録するホームページ（ワークショップ約3時間＋ワークショップ後に自身で編集約3時間）",/org/thebestitems/,link,
org,"所有するものを収納する箱を装飾する","所要時間：約45分　|　参加費：1000円+税　|　※予約不要",https://newlifecollection.com/ca88/1314/p-r-s/,link,
org,"↑","ポップアップのタイトルロゴのスクリーン版を制作しました。",https://64.media.tumblr.com/5c710d6861e18743f1f022f3c8ef8547/1a9f475960b876d1-e6/s2048x3072/388713e50836bd4b22b3f2437fee034da72514e0.jpg,link,
org,"↑","参加者特典：ポップアップのタイトルロゴをスクリーン印刷した箱（複数のサイズからお選びいただけます。）",https://64.media.tumblr.com/6dd895425cf7ef14ad0722d756c00429/1a9f475960b876d1-4d/s2048x3072/17b9fdf6833402173fbd2b6041cfbf7ea154e2ef.jpg,link,
org,"↑","箱をラベルプリンタ・ハンディプリンタで装飾する例",https://64.media.tumblr.com/313f8f724037a20fa179ae1cd0ff03c2/1a9f475960b876d1-d1/s2048x3072/8f888cdd6d3a5c723704d1b0d5fffc1d145e8606.jpg,link,
map,"私（わたしたち）がBnA Alter Museumの周りで聞いた言葉","BnA Alter Museumに来る途中にあなたが聞いた言葉を（あなたが言葉を聞いた日時と場所をあわせて）持参してくださった方（先着10名）に、スティッキーアンドペン Think Note をプレゼント",https://creative-community.space/essay/thinknote/,link,
map,"↑","持参した言葉は、BnA Alter Museum 1F受付にご提出ください。",,none,
map,"↑","※ ご持参いただいたあなたが聞いた言葉は、BnA Alter Museum 2階のカフェに展示／デジタルマップに追加します。",,none,
other,"自分の気持ちを知る・表す","ページの背景色は、BnA Alter Museumに本日宿泊した方たちが投稿した自分の気持を表す色を積み重ねたグラデーションです。",,none,
