gift,Untitled,Drawing,"[Storage] メモ用紙に蛍光ペン/鉛筆x2 by 010001111000, 2016",,
bought,ass as sin,Drawing,"[Bar] by 皆藤齋　グレー厚紙に鉛筆,白上質紙にペン, 2016",popup,
bought,Kazuki & Rat,Papercraft,"[Bar] by Kazquiz, 2016 (https://www.kazquiz.com/kazuki-rat)",popup,
gift,Untitled,Painting,"[Storage] 小作品×8 by 松尾信太郎, 2017",,
gift,∧°┐ Cap,Papercraft,"[Bar] 紙製帽子 by 丸目龍介, 2018",popup,
collaborations,things that i heard in New York,Cards,"[Storage] 02 by Sarah Marshall, 2018",,
collaborations,Nissed,Artworks,"[Storage] 03 (CDケース,メモ用紙) by 松延総司, 2018 ",,
sale,Pattern of Dark #20,Textile,"[Storage] 松延総司 ,5枚, 3240yen",,
free,私の石,Cement Stones,"[Entrance]by 松延総司, 2011 (https://matsunobe.net/works/mystones/index.html)　2019,2020年に北加賀屋で拾得",popup,
bought,ブンブン,Hobby,"[2F] 白色　電池式(単3電池3個) 光る回る音が出る ",popup,
bought,ブンブン2,Hobby,"[Storage] 黒色　電池式(単3電池3個) 光る回る音が出る　",,
bought,ピストル NO:838,Hobby,"[Storage] 電池式 光る音が出る　黒色",,
collaborations,"[Storage] K PARTY","Flyer/Sticker/Material","[UR-NTbx] チラシ1種, ステッカー5種,製造物",,
collaborations,靴下端切れ草履x3,RoomShoes,"[2F] by あくちゃん, pal, かおちょ, 2019",popup,
free,工事ライト,ライト,"[Storage] ソーラー付き",,
gift,Coins,Coins,"[Secret] by Nicholas Strobelt, 2019",popup,
sale,NS1,Ceramic,"[Entrance] by Joseph Torres, 2019",popup,
bought,MS1,Painting,"[Bar] by 趙里奈　キャンバスに絵の具, 2019",popup,
collaborations,Green People,Artworks,"[Storage] A4プリント,額装プリント,名札,L版,Green夏越し人形,アルミホイル人形,フェルト, 2019",,
gift,ノートブック,Note Book,"[Storage] by Laurel schwulst, 2019",,
gift,部屋のための指示,Booklet,"[Storage] by Laurel schwulst,試作品, 2019",,
collaborations,この部屋での時間のつぶし方,Booklet,"[Storage] For Fright Simirator Room, 2019",,
gift,pomera,Artwork,"[Bar] by Laurel Schwulst, 2019",popup,
gift,TNR Writer,Photo Card,"[Storage] by Elliot Cost, 2019",,
gift,Bell Kiosk,"Stecker,Bells","[Storage] by Elliot Cost, 2019",,
gift,the whole city is full of wishes,Booklet,"[Storage] by wish books, nyc, Elliot Cost | october, 2019",,
gift,Tongue finishes back at the root of itself,Artwork,"[Storage] by Ferran Pla | Ana Martinez Fernandez, 2019",,
