made,A Piece of プレイタイムズ,Document,"[KAHM-bx2] 2019",
made,プレイタイムズ メモ,Document,"[KAHM-bx2] 2019",
made,A Piece of プレイタイムズ,Document,"[KAHM-bx2] 2019",
made,プレイタイムズ,Website/Rolled Label Paper,"[KAHM-bx2] praytimes.pe.hu, 2019",
made,カッティングシール,Sticker,"[KAHM-bx2] Map x2, infomation x1, ichoose x3, Now Playing,　月　日x5, 2019",

made,Your Drawing is Seems So Beautiful,Photo Card,"[KAHM-bx2] WWW to Print ×8, 2021",
bought,Sign,Flag,"[UR-7.5] 自分の気持ちを知る・表す, 2021",

made,i choose 作成用ガイド,Guide,"[UR-4.5-TK] Selpicを使用して i choose マグネットプレートを作成するためのガイド,ダンボール製",
