made,a1,img/PEHU01.png,P E H U is,P E H U から始まるペフに似合うことばをスクリーン印刷した古着（非売品）
made,a4,img/PEHU02.png,P E H U is,P E H U から始まるペフに似合うことばをスクリーン印刷したフェイスタオル売品（非売品）
bought,b4,/org/printing/tojitakun.png,とじ太くん,卓上製本機のエントリーモデル | 最大背幅：30mmまで（購入物）
bought,a4,/org/necessities/bbq.png,七輪,2019年夏に購入 | キャプテンスタッグ製（購入物）
sale,a4,/org/listening/1F05.png,05 by woopheadclrms,2018年3月に開催したLaurel SchwulstとWoopheadclrmsによる展覧会「05」に来場した方が適当にタイピングした文字をコンピューターに朗読させた音楽作品
free,b4,/org/necessities/fan.png,天神祭りのうちわ,2019年の夏、天神祭りに際し町内会から頂いた（非売品）
other,b4,img/omikuzi.png,おみくじ,樹齢900年の楠がある桜宮御旅所の無人おみくじ販売機にて引いたおみくじ
made,a4,/pehu/weare/bookcover.png,We are,The Village Green Preservation Society の歌詞を基に制作したペフのテーマをデザインしたブックカバー（制作物）
collaborations,note,/value/gallery/000.png,大切にすることを大切にするためのギャラリー,size: 65 × 65 × 65 mm (inside: 59 × 59 × 59 mm)
bought,b4,img/VGCTLG.png,VG CTLG,所有するものを区分し管理するために購入した箱（購入物）
bought,a6,/org/printing/selpic.png,Selpic S1,2020年購入 | どんな所にも印刷できるハンディプリンター（購入物）
sale,b5,/org/viewing/1F04.png,04,by emeraldclitoris | オーディオコント・映像作品「戯れるS子たち」ほか、エメラルドクリトリスのメンバーによる様々な映像作品を収録 | 2018
sale,a6,/org/viewing/1F03.png,03,"by Takamitsu Ohta, Muku Kobayashi, Shoji Funakawa, Soshi Matsunobe Video/Edit by Reiji Saito | 2018"
collaborations,a3,/pehu/publication/5dition/5dition.png,Christmas 5dition,2020年、クリスマスフェア「Only Holy Stories」のために制作したアドベントカレンダー（制作物）
collaborations,b4,diary/image.jpg,a daily basis (DIARY),2021年の夏のある日、ローレルさんが思い付いたP E H U から始まる４つの言葉を印字したA4サイズのマグネットシート（会員限定）
bought,a5,/org/printing/ql800.png,brother QL-800,宛名ラベル・バーコードラベル印刷に最適な62mm幅対応の感熱ラベルプリンター（購入物）
sale,min,/value/still/000.png,今でも大切？,大切にすることを大切にするための本の続編 | 2020年出版（出版物）
sale,b5,/essay/book/004.png,わかば,17のエッセイと、成長と変化を表現した5つのアハ体験を収録した書籍 | 2020年出版（出版物）
other,note,/essay/thinknote/pr/cover.png,Think Note,2020年制作 | ポータブルスティッキー&ペン（会員限定）
gift,a5,img/kalanchoe_beauverdii.png,Kalanchoe beauverdii,黒錦蝶 | 2020年秋、芳明園の方から雑草だと頂いた植物
other,a6,img/tramp.png,会話トランプ,2019年夏、デザインの参考資料として購入（中古品）
made,a6,/pehu/31q/a.png,i choose,ペフが考えた二択の質問を収録した日めくりカレンダー | 2019年出版（制作物）
sale,a5,/value/book/book.png,大切にすることを大切にするための本,様々な人たちの大切なものにまつわるエピソードを収録した書籍 | 2019年出版（出版物）
free,a6,img/pen.png,ダブルファンタジー ペン,2022年、音ビルで見つけた誰かの忘れ物
sale,min,/pehu/dm/this.png,This USB Card is The Digital Magazine,2019年に出版した会員制デジタルマガジンを収録したUSBカード（出版物）
collaborations,a6,img/ezco.png,こす,2020年秋、サボテン植え替え大会のために芳明園で購入した植物（購入物）
free,min,img/KN01.png,🪨,2022年5月3日にウトロの海岸で見つけたボロボロの石
gift,min,img/pin.png,Flight Simulator,2021年、友人からもらったグリーンランドの空港を表すピン（非売品）
bought,min,img/dog.png,金持ち犬,2022年1月、初詣の際に購入した住吉大社の土人形・干支置物（購入物）
free,min,img/KN00.png,２つ,2022年4月26日にウトロ道の駅付近で見つけた貝殻
gift,min,img/horse.png,チェスの駒,2020年、友人がニューヨークで拾ったナイト（騎士）
